cov_id,hierarchy,granularity,n_cancers_used,eta_obs,eta_perm_median,eta_perm_p95,p_empirical,B
0.0,epithelial_class,2a_3bin,27,,,,,0
0.0,epithelial_class,2b_6bin,27,,,,,0
0.0,epithelial_class,2c_10bin,27,,,,,0
0.0,germ_layer,3a_3bin,22,,,,,0
0.0,germ_layer,3b_mid,22,,,,,0
0.0,hoadley,5a_4plus_unassigned,24,,,,,0
0.0,hoadley,5c_iclusters,16,,,,,0
0.0,sex_composition,4_4bin,29,,,,,0
0.0,tissue_origin,1a_5bin,29,,,,,0
0.0,tissue_origin,1b_11bin,29,,,,,0
0.5,epithelial_class,2a_3bin,27,0.0631593166505535,0.05066273992381197,0.2538827139077052,0.407,1000
0.5,epithelial_class,2b_6bin,27,0.0824764167300205,0.17245668130447267,0.3914403746730448,0.877,1000
0.5,epithelial_class,2c_10bin,27,0.3901925307041302,0.3355577695103706,0.5985655936264099,0.362,1000
0.5,germ_layer,3a_3bin,22,0.0626633022980594,0.07263390890963622,0.24866130242919318,0.547,1000
0.5,germ_layer,3b_mid,22,0.1829194966065906,0.31360546908831916,0.6101198247044846,0.804,1000
0.5,hoadley,5a_4plus_unassigned,24,0.2221854134021889,0.15510100768876536,0.3854193508814868,0.258,1000
0.5,hoadley,5c_iclusters,16,0.908872640076442,0.9041044936155305,0.9976913818418383,0.468,1000
0.5,sex_composition,4_4bin,29,0.2362500098023325,0.08072851076897866,0.2529695533206416,0.075,1000
0.5,tissue_origin,1a_5bin,29,0.0581108687065317,0.12604141648255124,0.31324279676612754,0.839,1000
0.5,tissue_origin,1b_11bin,29,0.3295893342170731,0.34339941259209683,0.5753557681341793,0.544,1000
1.1,epithelial_class,2a_3bin,27,0.2170659788897489,0.0473989267230861,0.2719912835216023,0.099,1000
1.1,epithelial_class,2b_6bin,27,0.2729718946780502,0.16229684912533332,0.42651597257791424,0.243,1000
1.1,epithelial_class,2c_10bin,27,0.6432297062725162,0.34205970478761777,0.6178733408096018,0.034,1000
1.1,germ_layer,3a_3bin,22,0.0485231962282522,0.07365576758830564,0.26150882536213527,0.657,1000
1.1,germ_layer,3b_mid,22,0.5058122306315059,0.3237600342997685,0.6189592031913869,0.136,1000
1.1,hoadley,5a_4plus_unassigned,24,0.2796329517247052,0.14731476245638556,0.38693602945592215,0.131,1000
1.1,hoadley,5c_iclusters,16,0.9871896527795272,0.8973729454290238,0.9953755370626574,0.113,1000
1.1,sex_composition,4_4bin,29,0.0661552213799427,0.07565334978753957,0.31683377930418305,0.567,1000
1.1,tissue_origin,1a_5bin,29,0.1669984907332675,0.12440839017544447,0.3238031310183396,0.302,1000
1.1,tissue_origin,1b_11bin,29,0.4666239646815009,0.34563692694142095,0.5933524728716341,0.215,1000
2.1,epithelial_class,2a_3bin,27,0.1881638279700307,0.027970471639860786,0.26680272499737856,0.075,1000
2.1,epithelial_class,2b_6bin,27,0.1557480556408959,0.11575206953290396,0.8179986413879987,0.349,1000
2.1,epithelial_class,2c_10bin,27,0.2040581309160802,0.23468438201315234,0.8766370776998915,0.582,1000
2.1,germ_layer,3a_3bin,22,0.2714303235968967,0.07133215637345772,0.25418708101160414,0.039,1000
2.1,germ_layer,3b_mid,22,0.5235103716648434,0.22464340852496245,0.899495743846692,0.216,1000
2.1,hoadley,5a_4plus_unassigned,24,0.1373346622915652,0.11224551305571978,0.4334910847863957,0.454,1000
2.1,hoadley,5c_iclusters,16,0.9996912084816648,0.9682512968628747,0.9992066520906591,0.021,1000
2.1,sex_composition,4_4bin,29,0.0516578389328045,0.03578706291951639,0.40022773135910444,0.347,1000
2.1,tissue_origin,1a_5bin,29,0.2945281790703277,0.1299698215288883,0.30556185026052085,0.06,1000
2.1,tissue_origin,1b_11bin,29,0.3280486834138663,0.2988117992536796,0.863163046932737,0.377,1000
3.1,epithelial_class,2a_3bin,18,0.1478195560152099,0.07959320239484091,0.4097036326976417,0.231,1000
3.1,epithelial_class,2b_6bin,18,0.1531947832464419,0.1973381654271945,0.5428052490798717,0.641,1000
3.1,epithelial_class,2c_10bin,18,0.4396451569809948,0.32087671934593825,0.66136731990222,0.278,1000
3.1,germ_layer,3a_3bin,13,0.0218420617134939,0.11980560421566358,0.4433320215749023,0.936,1000
3.1,germ_layer,3b_mid,13,0.1874711072049388,0.39506239971407536,0.7472147702533367,0.948,1000
3.1,hoadley,5a_4plus_unassigned,16,0.5786080847291499,0.17021429654877396,0.4817090107986121,0.02,1000
3.1,hoadley,5c_iclusters,9,1.0,1.0,1.0,0.808,1000
3.1,sex_composition,4_4bin,19,0.0706440394312275,0.14345497853043676,0.43268336617675973,0.809,1000
3.1,tissue_origin,1a_5bin,19,0.0976850918455607,0.14073141745960474,0.4173458533265296,0.678,1000
3.1,tissue_origin,1b_11bin,19,0.1482388992506555,0.3727282903083159,0.6895851059936134,0.973,1000
3.2,epithelial_class,2a_3bin,18,0.0659871185104016,0.08675708356070877,0.37905090537868524,0.627,1000
3.2,epithelial_class,2b_6bin,18,0.1669400043935877,0.20022904222621757,0.5245159609455738,0.626,1000
3.2,epithelial_class,2c_10bin,18,0.1340789486298922,0.3253419862262392,0.6438562011588634,0.954,1000
3.2,germ_layer,3a_3bin,13,0.1352658593192007,0.1255594858234732,0.4236947541063327,0.469,1000
3.2,germ_layer,3b_mid,13,0.3506462169416605,0.405662980571314,0.7333752251206126,0.624,1000
3.2,hoadley,5a_4plus_unassigned,16,0.2171768600128372,0.17633813123335915,0.4682117720912221,0.398,1000
3.2,hoadley,5c_iclusters,9,1.0,1.0,1.0000000000000002,0.839,1000
3.2,sex_composition,4_4bin,19,0.6314330207062208,0.13987283872329875,0.4341668229128448,0.003,1000
3.2,tissue_origin,1a_5bin,19,0.2488717272020713,0.13198490258558648,0.3814031607279176,0.177,1000
3.2,tissue_origin,1b_11bin,19,0.5337992917731257,0.36883695844260034,0.6736443000055369,0.182,1000
4.1,epithelial_class,2a_3bin,21,0.0566628460341951,0.052099769599829614,0.4031475602767629,0.462,1000
