block,hierarchy,granularity,n_cancers_with_block,n_cancers_in_test,block_presence_eta,avg_pip_screening_eta,n_covs_in_block
38,hoadley,5a_4plus_unassigned,1,24,,,0
38,hoadley,5c_iclusters,1,16,,,0
38,sex_composition,4_4bin,1,29,0.011363636363636359,,0
38,tissue_origin,1a_5bin,1,29,0.17142857142857137,,0
38,tissue_origin,1b_11bin,1,29,1.0000000000000002,,0
39,epithelial_class,2a_3bin,8,27,0.49673469387755126,0.3222464917440971,1
39,epithelial_class,2b_6bin,8,27,0.49260204081632664,0.0634316476926419,1
39,epithelial_class,2c_10bin,8,27,0.8312500000000002,0.0162394672818532,1
39,germ_layer,3a_3bin,8,22,0.2972222222222222,0.0646320147220272,1
39,germ_layer,3b_mid,8,22,0.6638888888888889,0.7345307057890774,1
39,hoadley,5a_4plus_unassigned,8,24,0.34841628959276016,,0
39,hoadley,5c_iclusters,8,16,0.8545454545454545,1.0,1
